35,115,10,6.75,17.09,796.60,38.29,1900.04,1257.57,1291.70,21,65%,44%,21%,15%,100%,ProfiPlus,1300%,1,10,4.810909091
35,115,20,6.75,17.09,964.07,38.29,1900.04,1313.22,1291.70,21,69%,45%,21%,15%,100%,ProfiPlus,1300%,1,10,9.621818182
35,115,30,6.75,17.09,1229.85,38.29,1900.04,1368.90,1291.70,21,76%,47%,21%,15%,100%,ProfiPlus,1300%,1,10,14.43272727
35,115,40,6.75,7.61,1495.45,100.22,1900.04,1424.59,1291.70,26,90%,48%,32%,40%,100%,ProfiPlus,1000%,1,10,19.24363636
35,115,50,6.75,16.31,1768.53,110.58,1891.74,1535.50,1286.79,28,82%,47%,35%,44%,100%,ProfiPlusXT,1000%,1,10,24.05454545
35,115,60,6.75,22.82,2035.38,125.36,1891.74,1712.71,1286.79,30,93%,51%,40%,50%,100%,ProfiPlusXT,900%,1,10,28.86545455
35,130,0,5.25,9.32,683.25,28.99,1886.98,1164.08,1273.65,21,47%,41%,21%,11%,100%,ProfiPlus,1900%,1,10,0
35,130,10,5.25,9.32,748.40,28.99,1886.98,1206.99,1273.65,21,47%,42%,21%,11%,100%,ProfiPlus,1900%,1,10,4.810909091
35,130,20,5.25,9.32,818.95,28.99,1886.98,1249.91,1273.65,21,49%,43%,21%,11%,100%,ProfiPlus,1900%,1,10,9.621818182
35,130,30,5.25,9.32,1027.54,28.99,1886.98,1292.84,1273.65,21,52%,44%,20%,11%,100%,ProfiPlus,1900%,1,10,14.43272727
35,130,40,5.25,16.96,1236.02,74.55,1886.98,1335.64,1273.65,24,58%,45%,24%,29%,100%,ProfiPlus,1500%,1,10,19.24363636
35,130,50,5.25,23.53,1444.40,85.95,1886.98,1378.46,1273.65,26,66%,46%,27%,34%,100%,ProfiPlus,1400%,1,10,24.05454545
35,130,60,5.25,30.11,1652.69,97.35,1886.98,1444.45,1273.65,28,74%,48%,30%,38%,100%,ProfiPlus,1300%,1,10,28.86545455
35,140,0,4.5,5.36,668.19,24.61,1868.84,1137.26,1254.29,21,39%,41%,21%,9%,100%,ProfiPlus,2400%,1,10,0
35,140,10,4.5,5.36,724.37,24.61,1868.84,1173.64,1254.29,21,39%,41%,20%,9%,100%,ProfiPlus,2400%,1,10,4.810909091
35,140,20,4.5,5.36,780.54,24.61,1868.84,1210.02,1254.29,21,40%,42%,20%,9%,100%,ProfiPlus,2400%,1,10,9.621818182
35,140,30,4.5,5.36,926.13,24.61,1868.84,1246.42,1254.29,21,42%,43%,20%,9%,100%,ProfiPlus,2400%,1,10,14.43272727
35,140,40,4.5,21.67,1105.92,62.46,1868.84,1282.82,1254.29,22,44%,44%,20%,24%,100%,ProfiPlus,1800%,1,10,19.24363636
35,140,50,4.5,28.42,1285.63,71.93,1868.84,1319.23,1254.29,24,50%,45%,23%,28%,100%,ProfiPlus,1700%,1,10,24.05454545
35,140,60,4.5,35.18,1465.28,81.41,1868.84,1355.64,1254.29,26,56%,46%,25%,32%,100%,ProfiPlus,1600%,1,10,28.86545455
35,150,0,3.75,1.36,634.21,20.45,1770.57,1063.50,1178.27,20,31%,39%,19%,8%,96%,ProfiPlus,2400%,1,10,0
35,150,10,3.75,1.36,681.39,20.45,1770.57,1093.25,1178.27,20,31%,39%,19%,8%,96%,ProfiPlus,2400%,1,10,4.810909091
35,150,20,3.75,1.36,728.56,20.45,1770.57,1123.01,1178.27,20,31%,39%,19%,8%,96%,ProfiPlus,2400%,1,10,9.621818182
35,150,30,3.75,1.36,814.94,20.45,1770.57,1152.77,1178.27,20,31%,40%,19%,8%,96%,ProfiPlus,2400%,1,10,14.43272727
35,150,40,3.75,26.29,965.94,51.00,1770.57,1182.53,1178.27,21,33%,41%,19%,20%,96%,ProfiPlus,1900%,1,10,19.24363636
35,150,50,3.75,33.21,1116.89,58.65,1770.57,1212.30,1178.27,23,35%,41%,19%,23%,96%,ProfiPlus,1800%,1,10,24.05454545
35,150,60,3.75,40.12,1267.80,66.30,1770.57,1242.07,1178.27,24,39%,42%,21%,26%,96%,ProfiPlus,1700%,1,10,28.86545455
